project_id,sprint_velocity,scope_changes,team_load,on_time
1,472.39,15.71,175.76,0
2,427.15,89.56,333.65,1
3,45.38,299.35,40.19,0
4,152.65,499.27,307.22,1
5,52.51,230.21,380.62,0
6,181.45,137.78,318.86,0
7,147.04,383.69,305.49,1
8,32.45,164.62,259.52,0
9,152.33,211.17,196.79,0
10,203.14,319.27,135.96,0
11,85.9,154.03,486.05,0
12,21.51,165.81,229.68,0
13,130.49,199.73,379.94,0
14,204.65,165.06,331.93,0
15,217.07,53.06,76.34,0
16,466.19,165.09,451.85,1
17,336.55,134.63,178.29,0
18,287.58,34.82,419.19,0
19,145.5,153.81,32.43,0
20,22.99,352.73,73.14,0
21,145.93,33.24,359.5,0
22,146.81,54.19,270.22,0
23,207.74,279.53,12.82,0
24,477.97,372.84,125.76,1
25,437.74,139.3,426.55,1
26,216.92,194.38,451.4,1
27,149.53,453.03,346.45,1
28,444.75,344.57,267.97,1
29,172.36,65.63,391.84,0
30,448.8,251.41,201.69,1
31,26.71,374.1,13.61,0
32,273.63,389.38,230.24,1
33,250.06,411.27,370.34,1
34,81.29,123.19,272.6,0
35,30.84,478.69,322.08,1
36,171.0,460.28,261.27,1
37,51.43,78.24,180.81,0
38,72.12,357.51,231.17,0
39,477.33,157.64,370.71,1
40,296.61,46.26,126.65,0
41,291.42,472.45,490.7,1
42,210.34,384.85,426.02,1
43,457.41,12.44,285.37,0
44,138.9,98.33,106.53,0
45,286.78,265.03,261.53,1
46,45.6,385.36,152.12,0
47,275.21,227.25,48.71,0
48,355.89,326.44,64.65,0
49,39.53,97.8,330.69,0
50,131.78,376.1,137.06,0
51,467.12,481.53,128.48,1
52,416.63,244.24,441.66,1
53,296.59,485.86,378.2,1
54,231.63,32.27,63.67,0
55,39.34,42.5,242.19,0
56,79.91,342.7,83.14,0
57,494.55,197.63,190.4,1
58,256.38,172.31,72.13,0
59,19.41,84.42,225.98,0
60,491.15,353.75,365.45,1
61,385.97,331.93,489.23,1
62,166.67,318.03,188.63,0
63,16.41,140.42,480.51,0
64,60.12,107.14,18.18,0
65,325.26,333.09,383.26,1
66,198.16,288.2,463.63,1
67,199.33,191.95,477.53,1
68,170.08,317.66,480.13,1
69,183.56,411.44,145.54,0
70,172.15,37.47,77.74,0
71,491.14,284.3,346.86,1
72,411.52,15.23,394.46,1
73,320.89,360.41,350.46,1
74,295.78,190.51,421.06,1
75,400.25,492.35,97.56,1
76,159.24,462.39,395.24,1
77,297.23,81.5,442.5,1
78,171.97,197.56,13.25,0
79,363.04,191.56,339.42,1
80,330.12,24.72,206.58,0
81,183.16,316.27,161.31,0
82,197.73,327.91,281.87,0
83,442.6,86.57,420.19,1
84,10.39,228.31,225.9,0
85,25.08,475.32,248.57,0
86,398.59,391.84,174.78,1
87,253.19,406.79,409.26,1
88,13.57,379.61,342.27,0
89,382.09,452.08,381.74,1
90,106.36,72.65,209.96,0
91,420.3,134.03,417.88,1
92,116.89,130.59,342.47,0
93,374.7,24.86,270.79,0
94,66.29,335.33,304.5,0
95,140.96,370.91,97.22,0
96,190.12,212.79,267.33,0
97,442.88,227.08,389.15,1
98,296.04,39.31,382.01,0
99,251.8,206.62,336.2,0
100,311.31,361.47,421.75,1
101,214.93,390.33,416.12,1
102,62.53,481.92,202.44,0
103,426.04,353.3,141.13,1
104,227.81,155.33,184.28,0
105,493.72,15.5,432.51,1
106,64.55,392.13,437.81,1
107,15.93,367.53,434.79,1
108,483.06,440.07,31.88,1
109,443.88,186.15,343.96,1
110,72.54,476.94,148.79,0
111,399.3,176.7,167.14,0
112,374.9,270.59,224.57,1
113,135.12,396.25,281.84,1
114,279.4,117.76,83.95,0
115,35.68,305.43,35.46,0
116,341.45,395.06,388.55,1
117,25.82,413.72,85.75,0
118,206.41,43.33,269.25,0
119,353.13,150.17,286.85,0
120,338.52,205.98,239.58,0
121,258.25,481.7,417.75,1
122,203.41,236.63,445.43,1
123,61.48,373.45,140.11,0
124,251.14,384.15,331.44,1
125,332.82,265.46,183.22,0
126,209.22,437.53,360.3,1
127,347.06,112.55,379.81,1
128,127.32,401.74,168.35,0
129,197.47,336.73,47.08,0
130,391.1,329.08,12.48,0
131,151.76,187.54,292.41,0
132,241.91,105.6,188.99,0
133,171.15,254.9,270.84,0
134,442.77,445.84,369.14,1
135,329.07,346.17,40.06,0
136,28.24,167.07,19.32,0
137,18.15,445.12,351.68,1
138,149.7,24.19,454.57,0
139,279.72,285.86,167.7,0
140,346.22,355.01,122.18,1
141,140.45,423.64,496.43,1
142,97.84,231.62,401.95,0
143,58.38,96.74,220.37,0
144,409.72,420.06,386.59,1
145,144.85,115.03,156.84,0
146,230.61,223.06,195.49,0
147,212.41,463.36,160.9,1
148,35.17,448.08,249.74,0
149,278.31,490.04,201.0,1
150,55.09,280.94,112.95,0
151,95.54,76.74,112.42,0
152,361.3,317.29,209.8,1
153,253.24,474.5,191.29,1
154,488.74,201.75,221.37,1
155,124.03,371.55,413.51,1
156,21.49,208.14,30.65,0
157,332.7,317.25,365.14,1
158,225.34,251.73,20.87,0
159,499.86,239.04,246.34,1
160,193.34,387.78,461.24,1
161,189.48,484.02,420.53,1
162,15.56,300.59,433.23,0
163,433.74,24.93,375.42,1
164,99.25,90.53,56.63,0
165,488.65,98.22,137.17,0
166,61.97,470.21,438.01,1
167,344.96,198.56,133.44,0
168,139.72,213.15,57.84,0
169,449.86,373.79,382.73,1
170,350.46,172.54,200.44,0
171,214.07,84.16,460.03,0
172,226.56,215.73,182.31,0
173,469.32,22.02,54.03,0
174,75.71,342.78,92.89,0
175,263.21,479.11,405.81,1
176,133.18,110.3,352.32,0
177,406.88,211.27,486.96,1
178,241.94,145.72,240.55,0
179,451.21,395.71,112.51,1
180,452.28,414.56,389.47,1
181,258.96,360.11,163.07,0
182,391.0,147.38,118.61,0
183,41.92,367.23,245.28,0
184,222.7,428.32,149.67,0
185,358.23,473.04,49.69,1
186,339.76,376.69,365.84,1
187,166.18,179.55,40.82,0
188,87.0,491.65,362.36,1
189,44.11,465.34,446.56,1
190,133.52,457.76,92.62,0
191,160.14,254.01,214.68,0
192,295.88,357.53,251.3,1
193,53.5,41.93,255.69,0
194,232.02,195.22,372.75,0
195,413.22,163.8,238.26,1
196,101.47,304.32,405.34,1
197,211.09,492.94,226.35,1
198,358.05,112.64,486.54,1
199,490.32,196.1,362.94,1
200,107.12,173.51,419.83,0
201,297.43,143.05,354.6,0
202,140.91,146.75,75.52,0
203,50.28,375.64,427.16,1
204,258.1,33.97,304.04,0
205,46.52,178.24,413.75,0
206,499.91,239.52,125.36,1
207,480.46,320.62,141.31,1
208,373.93,13.66,186.39,0
209,110.35,399.94,47.65,0
210,296.46,399.97,267.12,1
211,466.34,205.91,471.45,1
212,353.77,459.42,218.47,1
213,145.39,47.86,219.68,0
214,445.07,485.46,464.97,1
215,204.3,322.25,333.98,1
216,469.69,113.7,122.84,0
217,493.78,191.39,293.18,1
218,393.82,93.4,14.55,0
219,57.56,311.51,37.81,0
220,330.84,355.64,327.17,1
221,107.07,472.35,498.94,1
222,242.36,151.31,470.14,1
223,438.97,39.64,251.27,0
224,435.78,420.36,200.87,1
225,427.91,191.62,475.27,1
226,454.43,73.14,205.29,0
227,380.54,284.4,255.31,1
228,41.29,138.76,119.12,0
229,235.31,91.42,487.52,1
230,188.53,15.93,19.79,0
231,492.57,35.04,289.0,1
232,380.01,256.32,397.41,1
233,435.62,168.31,79.71,0
234,499.28,359.27,108.7,1
235,491.35,333.47,326.04,1
236,414.4,286.74,208.95,1
237,499.34,42.18,241.88,0
238,365.39,484.43,445.72,1
239,213.71,174.84,312.91,0
240,433.58,276.69,373.51,1
241,343.2,463.95,66.97,1
242,63.22,33.71,154.78,0
243,376.54,426.67,240.18,1
244,184.54,264.13,404.92,1
245,456.46,61.52,105.5,0
246,130.54,14.45,38.87,0
247,364.17,68.88,435.35,1
248,122.76,359.88,170.42,0
249,419.97,65.59,149.8,0
250,168.51,291.22,254.58,0
251,197.19,54.89,489.63,0
252,294.08,139.73,116.74,0
253,324.86,326.13,411.0,1
254,346.97,116.94,154.87,0
255,295.7,258.72,120.87,0
256,74.72,377.33,330.97,0
257,213.43,458.9,111.65,0
258,28.42,237.71,33.02,0
259,223.29,181.84,325.14,0
260,82.59,250.36,293.74,0
261,70.73,413.98,388.96,1
262,496.44,362.44,349.06,1
263,293.32,493.92,280.7,1
264,254.65,13.25,471.41,0
265,453.11,111.17,256.85,1
266,183.18,29.72,460.82,0
267,486.58,207.11,70.31,0
268,492.98,428.44,420.31,1
269,139.27,41.26,199.07,0
270,177.06,373.0,230.83,0
271,136.41,268.09,345.16,0
272,314.89,362.88,48.28,0
273,475.67,296.46,147.48,1
274,306.71,314.35,185.18,0
275,410.61,198.45,497.27,1
276,43.68,411.75,67.82,0
277,69.05,130.72,397.4,0
278,465.73,451.13,309.14,1
279,178.38,286.92,248.37,0
280,374.32,348.15,249.23,1
281,237.94,448.78,447.43,1
282,421.95,123.4,376.6,1
283,454.97,457.24,333.66,1
284,151.06,183.57,357.57,0
285,499.55,56.65,163.33,0
286,299.54,406.98,461.31,1
287,380.14,358.17,388.99,1
288,77.2,458.46,355.0,1
289,93.17,186.29,11.8,0
290,434.06,101.43,351.65,1
291,495.7,388.02,144.67,1
292,266.43,410.35,456.15,1
293,385.59,44.53,482.4,1
294,374.19,275.98,49.29,0
295,370.41,38.3,128.53,0
296,111.86,242.09,247.75,0
297,278.1,131.37,433.51,1
298,46.06,491.73,197.76,0
299,339.51,313.45,389.56,1
300,332.2,344.79,212.69,1
301,418.42,132.99,61.4,0
302,158.77,99.59,434.97,0
303,124.46,299.96,469.57,1
304,48.86,147.88,15.97,0
305,39.24,122.06,281.49,0
306,200.34,282.69,191.63,0
307,132.9,77.66,257.38,0
308,158.21,344.9,478.72,1
309,297.41,318.28,15.97,0
310,249.62,471.25,365.05,1
311,163.74,479.19,201.5,1
312,201.78,275.07,192.07,0
313,51.68,255.54,196.18,0
314,322.71,406.16,246.0,1
315,179.87,174.78,299.02,0
316,454.08,276.7,221.13,1
317,29.29,395.59,373.33,0
318,380.36,337.32,232.51,1
319,397.07,148.12,320.57,1
320,223.4,437.81,415.21,1
321,156.69,30.79,456.4,0
322,56.4,24.78,86.23,0
323,487.71,114.94,54.78,0
324,264.1,279.11,262.64,0
325,138.31,460.75,20.94,0
326,106.44,326.53,303.21,0
327,327.05,271.7,331.72,1
328,247.28,457.86,387.27,1
329,240.84,15.81,131.16,0
330,339.13,248.84,363.03,1
331,494.3,78.78,39.11,0
332,479.06,41.84,206.96,0
333,470.32,436.19,347.23,1
334,46.35,177.42,410.98,0
335,19.89,462.59,278.64,0
336,376.82,280.37,260.55,1
337,363.93,273.46,176.21,1
338,368.17,36.17,405.95,0
339,131.03,86.75,456.63,0
340,50.49,89.4,414.65,0
341,491.16,497.48,25.72,1
342,298.54,308.27,271.46,1
343,170.79,452.31,188.61,1
344,412.72,223.36,311.42,1
345,278.72,482.57,425.37,1
346,236.58,384.86,41.36,0
347,153.38,142.41,168.92,0
348,422.58,364.64,63.15,1
349,181.93,63.54,204.39,0
350,287.0,309.81,111.41,0
351,172.34,136.64,316.91,0
352,87.09,321.01,419.79,1
353,72.06,30.62,263.65,0
354,340.13,252.21,458.5,1
355,402.66,351.17,333.85,1
356,425.08,108.65,217.03,0
357,69.41,373.09,367.69,0
358,308.17,161.0,123.74,0
359,120.29,366.35,354.25,1
360,187.55,438.14,125.71,0
361,323.69,419.91,31.67,0
362,184.76,117.33,431.77,0
363,35.55,12.25,435.1,0
364,285.65,267.06,304.55,1
365,281.44,498.69,93.21,1
366,402.85,23.67,294.84,0
367,153.54,19.61,374.61,0
368,175.43,385.28,439.66,1
369,182.59,46.2,275.17,0
370,254.6,200.46,211.92,0
371,249.32,120.53,237.5,0
372,191.56,32.09,35.63,0
373,486.35,467.32,210.59,1
374,298.44,405.37,427.57,1
375,29.03,125.43,61.54,0
376,121.5,88.16,494.07,0
377,236.83,16.97,315.44,0
378,81.75,106.35,382.47,0
379,176.38,178.57,323.4,0
380,122.26,421.13,100.95,0
381,57.34,10.19,251.31,0
382,213.72,121.82,329.03,0
383,443.78,220.27,430.3,1
384,368.53,304.37,136.97,0
385,45.98,339.26,239.03,0
386,215.86,466.93,330.98,1
387,251.69,409.83,63.6,0
388,46.61,72.41,338.67,0
389,193.64,17.03,296.11,0
390,81.97,28.05,119.68,0
391,30.54,65.68,324.47,0
392,462.93,62.47,350.19,1
393,346.71,231.81,90.75,0
394,12.96,219.76,329.59,0
395,391.25,241.28,283.17,1
396,394.75,390.43,71.48,1
397,61.37,104.4,194.11,0
398,174.09,222.31,60.59,0
399,382.56,216.14,155.99,0
400,252.61,311.85,435.7,1
401,151.23,330.79,100.94,0
402,334.48,134.56,315.71,0
