employee_id,current_role,target_role,years_experience,education_level,performance_rating,satisfaction_level,training_hours,certifications_count,last_promotion_years,projects_completed,department,target_role_success
1,Analyst,Data Analyst,7.18,Master,4.76,0.27,19,2,9,17,Marketing,1
2,Consultant,Program Manager,4.48,Master,3.99,0.37,21,3,4,8,Sales,1
3,Analyst,Data Analyst,4.15,Bachelor,2.76,0.3,16,2,1,12,Marketing,0
4,Analyst,Business Analyst,4.15,Bachelor,1.06,0.35,21,0,0,6,Finance,0
5,Analyst,Data Analyst,13.95,Doctorate,2.89,0.09,16,2,7,8,Operations,0
6,Engineer,Data Analyst,8.6,Master,4.34,0.11,13,1,1,8,Engineering,0
7,Consultant,Business Analyst,3.39,Bachelor,3.74,0.45,25,2,0,8,Finance,1
8,Engineer,Business Analyst,7.41,Master,4.43,0.19,22,2,2,3,Sales,0
9,Consultant,Program Manager,6.0,Bachelor,2.71,0.45,21,4,8,12,Finance,1
10,Engineer,Program Manager,0.65,Bachelor,2.35,0.2,21,0,0,7,Engineering,1
11,Analyst,Program Manager,2.01,Bachelor,3.82,0.24,17,2,0,12,Marketing,0
12,Engineer,Program Manager,6.32,Bachelor,3.67,0.28,16,0,7,13,HR,0
13,Engineer,Business Analyst,13.1,Bachelor,3.71,0.18,16,0,0,7,Marketing,1
14,Consultant,Data Analyst,4.18,High School,4.15,0.19,23,1,0,10,Engineering,1
15,Consultant,Data Analyst,3.17,Bachelor,3.8,0.12,11,2,2,11,Engineering,0
16,Engineer,Data Analyst,5.44,Master,3.78,0.44,21,0,5,9,Sales,1
17,Consultant,Program Manager,3.02,Master,4.0,0.29,18,1,1,8,Finance,1
18,Consultant,Business Analyst,3.95,Master,3.85,0.29,28,4,10,13,Finance,1
19,Consultant,Business Analyst,4.95,Master,4.1,0.25,19,3,3,11,Marketing,1
20,Manager,Business Analyst,1.92,High School,4.21,0.46,12,4,0,6,HR,1
21,Consultant,Data Analyst,8.91,Bachelor,4.57,0.22,19,2,10,7,HR,1
22,Manager,Program Manager,1.61,Master,3.05,0.27,15,2,1,10,Sales,0
23,Manager,Business Analyst,1.42,Bachelor,3.84,0.44,21,2,0,12,Engineering,1
24,Consultant,Program Manager,5.8,Bachelor,3.24,0.4,20,1,2,5,Sales,1
25,Engineer,Business Analyst,8.44,High School,2.92,0.45,13,1,1,6,Finance,1
26,Consultant,Program Manager,5.69,Master,3.02,0.13,18,1,0,9,Operations,1
27,Analyst,Business Analyst,4.57,Bachelor,3.85,0.34,19,1,0,6,Operations,0
28,Engineer,Program Manager,3.92,Master,3.79,0.38,23,3,1,8,Operations,1
29,Manager,Business Analyst,3.42,Bachelor,3.78,0.32,20,2,5,14,Engineering,1
30,Manager,Business Analyst,10.31,Master,3.34,0.47,22,2,2,13,Sales,1
31,Engineer,Program Manager,6.36,Master,3.5,0.52,29,2,10,8,Marketing,1
32,Engineer,Program Manager,3.65,Master,4.07,0.12,16,0,0,7,Finance,0
33,Consultant,Data Analyst,2.81,Bachelor,2.46,0.17,22,1,0,10,Operations,0
34,Manager,Program Manager,7.76,Bachelor,3.52,0.57,18,4,0,4,HR,1
